20230512,00:01:56,UNIFY Identity Broker,Change detection engine,Information,"Change detection engine import changes completed.
Change detection engine import changes for connector PeopleSoft EmployeeNid Connector returned 0 possible changes. Duration: 00:00:00.1585470",Normal
20230512,00:02:30,UNIFY Identity Broker,Change detection engine,Information,"Change detection engine import changes started.
Change detection engine import changes for connector PeopleSoft Job Connector started.",Normal
20230512,00:02:30,UNIFY Identity Broker,Connector,Information,"Request to import changes from connector.
Request to import changes from connector PeopleSoft Job Connector.",Normal
20230512,00:02:30,UNIFY Identity Broker,Connector,Information,"Import changes from connector completed.
Import changes from connector PeopleSoft Job Connector reported 0 changes. Duration: 00:00:00.1060068",Normal
20230512,00:02:30,UNIFY Identity Broker,Change detection engine,Information,"Change detection engine import changes completed.
Change detection engine import changes for connector PeopleSoft Job Connector returned 0 possible changes. Duration: 00:00:00.1260865",Normal
20230512,00:02:39,UNIFY Identity Broker,Change detection engine,Information,"Change detection engine import all items started.
Change detection engine import all items for connector SAS2IDM Student Ex started.",Normal
20230512,00:02:39,UNIFY Identity Broker,GetAllEntities,Information,Started successfully.,Normal
20230512,00:02:39,UNIFY Identity Broker,GetAllEntities,Information,Completed successfully after [00:00:00.0329977] duration.,Normal
20230512,00:02:39,UNIFY Identity Broker,Connector,Information,"Request to import all entities from connector.
Request to import all entities from connector SAS2IDM Student Ex.",Normal
20230512,00:02:39,UNIFY Identity Broker,Connector Processor,Information,"Connector Processing started.
Connector Processing started for connector SAS2IDM Student Ex (page 1)",Normal
20230512,00:02:39,UNIFY Identity Broker,Connector Processor,Information,"Connector processing success.
0 entites in cumulative total. Current processing of page 1 for connector SAS2IDM Student Ex processed 1000 entities, finding 0 differences. Duration: 00:00:00.6831706. ",Normal
20230512,00:02:39,UNIFY Identity Broker,Connector Processor,Information,"Connector Processing started.
Connector Processing started for connector SAS2IDM Student Ex (page 2)",Normal
